run_date,category,query,location_name,input_zip,item_id,upc,name,brand,category_path,category_node,parent_category,sale_price,msrp,discount_pct,customer_rating,num_reviews,available_online,stock,product_url,lookup_error
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,49463949.0,681131122764,"Marketside Large Cage-Free Brown Eggs, 12 Count",Marketside,Home Page/Food/Dairy & Eggs/Eggs/Cage Free Eggs,976759_9176907_1001469,,2.96,3.99,25.81,4.3,6639.0,False,Not available,https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=http%3A%2F%2Faffil.walmart.com%2Fcart%2FaddToCart%3Fitems%3D49463949,
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,15716858.0,715141514643,"Eggland's Best Cage Free Large Brown Eggs, 12 Count",Eggland's Best,Home Page/Food/Dairy & Eggs/Eggs/Cage Free Eggs,976759_9176907_1001469,,3.57,0.0,,4.6,6119.0,False,Not available,https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=http%3A%2F%2Faffil.walmart.com%2Fcart%2FaddToCart%3Fitems%3D15716858,
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,5326288982.0,194346256259,"Marketside Grade A Large Pasture Raised Brown Eggs, 12 Count",Marketside,Home Page/Food/Dairy & Eggs/Eggs/Eggs 12 count,976759_9176907_1001469,,4.16,4.97,16.3,4.4,1344.0,False,Not available,https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=http%3A%2F%2Faffil.walmart.com%2Fcart%2FaddToCart%3Fitems%3D5326288982,
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,48319448.0,681131122771,"Marketside Organic Cage-Free Large Brown Eggs, 12 Count",Marketside,Home Page/Food/Dairy & Eggs/Eggs/Organic Eggs,976759_9176907_1001469,,3.48,4.99,30.26,4.1,3588.0,False,Not available,https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=http%3A%2F%2Faffil.walmart.com%2Fcart%2FaddToCart%3Fitems%3D48319448,
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,10449724.0,715141716825,"Eggland's Best 100% USDA Organic Certified Large Brown Eggs, 12 Count",Eggland's Best,Home Page/Food/Dairy & Eggs/Eggs/Organic Eggs,976759_9176907_1001469,,5.96,0.0,,4.5,2029.0,False,Not available,https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=http%3A%2F%2Faffil.walmart.com%2Fcart%2FaddToCart%3Fitems%3D10449724,
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
2026-03-01,eggs,large eggs 12 count,Tukwila,98188,,,,,,,,,,,,,,,,all_variants_failed
